"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","tobramycin","","4.0","","4.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.94, CI[0.92, 0.96]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","amikacin","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.93, CI[0.91, 0.95]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","ampicillin","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.99, CI[0.98, 1.01]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","aztreonam","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.90, CI[0.89, 0.92]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","ceftazidime","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.87, CI[0.83, 0.91]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","cefazolin","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.99, CI[0.97, 1.00]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","ciprofloxacin","","8.0","","8.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.98, CI[0.97, 0.99]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","ceftriaxone","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.99, CI[0.99, 1.00]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","cefotaxime","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.97, CI[0.95, 1.00]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","cefoxitin","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 1.00, CI[1.00, 1.00]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","gentamicin","","8.0","","8.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.97, CI[0.95, 0.99]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","imipenem","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.92, CI[0.88, 0.96]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","levofloxacin","","4.0","","4.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.95, CI[0.91, 0.99]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","meropenem","","16.0","","16.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.89, CI[0.85, 0.92]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","nitrofurantoin","","512.0","","512.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 1.00, CI[1.00, 1.00]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","ampicillin/sulbactam","","16.0","","16.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.91, CI[0.87, 0.96]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","tetracycline","","16.0","","16.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.96, CI[0.94, 0.99]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","tobramycin","","8.0","","8.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.94, CI[0.92, 0.96]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","amikacin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.91, 0.98]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","ceftazidime","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.90, CI[0.86, 0.94]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","ciprofloxacin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.95, CI[0.91, 0.99]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","gentamicin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.91, CI[0.87, 0.95]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","imipenem","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.90, 0.98]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","levofloxacin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.92, 0.99]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","meropenem","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.90, 0.99]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","ampicillin/sulbactam","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.93, CI[0.89, 0.97]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","tetracycline","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.92, 0.99]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","tobramycin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.88, CI[0.86, 0.91]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","amikacin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.91, 0.98]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","ceftazidime","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.90, CI[0.86, 0.94]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","ciprofloxacin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.95, CI[0.91, 0.99]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","gentamicin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.91, CI[0.87, 0.95]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","imipenem","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.90, 0.98]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","levofloxacin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.92, 0.99]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","meropenem","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.90, 0.99]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","ampicillin/sulbactam","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.93, CI[0.89, 0.97]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","tetracycline","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.92, 0.99]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","tobramycin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.88, CI[0.86, 0.91]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","amikacin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.91, 0.98]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","ceftazidime","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.90, CI[0.86, 0.94]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","ciprofloxacin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.95, CI[0.91, 0.99]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","gentamicin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.91, CI[0.87, 0.95]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","imipenem","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.90, 0.98]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","levofloxacin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.92, 0.99]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","meropenem","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.90, 0.99]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","ampicillin/sulbactam","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.93, CI[0.89, 0.97]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","tetracycline","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.92, 0.99]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","tobramycin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.88, CI[0.86, 0.91]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","trimethoprim/sulfamethoxazole","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.71, CI[0.66, 0.76]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","trimethoprim/sulfamethoxazole","","2.0","","2.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.71, CI[0.66, 0.76]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","trimethoprim/sulfamethoxazole","","8.0","","8.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.71, CI[0.66, 0.76]","Computational Method","",""
1096995,"1096995.11","Acinetobacter baumannii BJAB07104","trimethoprim/sulfamethoxazole","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.88, CI[0.80, 0.97]","Computational Method","",""
1096995,"1096995.12","Acinetobacter baumannii BJAB07104","trimethoprim/sulfamethoxazole","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.88, CI[0.80, 0.97]","Computational Method","",""
1096995,"1096995.4","Acinetobacter baumannii BJAB07104","trimethoprim/sulfamethoxazole","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.88, CI[0.80, 0.97]","Computational Method","",""
